1	200	13.000000	﻿The Project Gutenberg eBook of The Project Gutenberg Encyclopedia, Volume 1 of 28 This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever. You may	1
2	3432	13.000000	﻿The Project Gutenberg eBook of Quotations from the Project Gutenberg Editions of the Works of Mark Twain This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restricti	1
3	3459	13.000000	﻿The Project Gutenberg eBook of Quotations from the Project Gutenberg Editions of the Works of John Galsworthy This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no rest	1
4	3471	13.000000	﻿The Project Gutenberg eBook of Quotations from the Project Gutenberg Editions of the Works of Charles Dudley Warner This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost n	1
5	3483	13.000000	﻿The Project Gutenberg eBook of Widger's Quotations from the Project Gutenberg Editions of the Works of William Dean Howells This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with	1
6	3493	13.000000	﻿The Project Gutenberg eBook of Widger's Quotations from the Project Gutenberg Editions of the Works of Oliver W. Holmes, Sr This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with	1
7	3531	13.000000	﻿The Project Gutenberg eBook of Widger's Quotations from the Project Gutenberg Editions of the Works of Lord Chesterfield This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with alm	1
8	3542	13.000000	﻿The Project Gutenberg eBook of Widger's Quotations from the Project Gutenberg Editions of the Works of Jacques Casanova This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almo	1
9	3603	13.000000	﻿The Project Gutenberg eBook of Widger's Quotations from the Project Gutenberg Editions of the Works of Guy de Maupassant This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with alm	1
10	3617	13.000000	﻿The Project Gutenberg eBook of Widger's Quotations from the Project Gutenberg Editions of Dumas' Celebrated Crimes This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no	1
11	3626	13.000000	﻿The Project Gutenberg eBook of Widger's Quotations from the Project Gutenberg Editions of the Works of Abraham Lincoln This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almos	1
12	3643	13.000000	﻿The Project Gutenberg eBook of Widger's Quotations from the Project Gutenberg Editions of Paine's Writings on Mark Twain This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with alm	1
13	3661	13.000000	﻿The Project Gutenberg eBook of Widger's Quotations from the Project Gutenberg Editions of the Works of Montaigne This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no r	1
14	3729	13.000000	﻿The Project Gutenberg eBook of Widger's Quotations from Project Gutenberg Edition of Memoirs of Napoleon This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restricti	1
15	3730	13.000000	﻿The Project Gutenberg eBook of Widger's Quotations from the Project Gutenberg Editions of the Court Memoirs of France This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost	1
